Main,Xpath,Value
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[1]/CITY,[A-Z a-z].*
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[1]/STATE,[A-Z]{2}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[1]/ZIP,[0-9]{5}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[1]/AREA_CODE,[0-9]{3}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[1]/TIME_ZONE,[A-Z]{1}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[2]/CITY,[A-Z a-z].*
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[2]/STATE,[A-Z]{2}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[2]/ZIP,[0-9]{5}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[2]/AREA_CODE,[0-9]{3}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[2]/TIME_ZONE,[A-Z]{1}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[3]/CITY,[A-Z a-z].*
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[3]/STATE,[A-Z]{2}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[3]/ZIP,[0-9]{5}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[3]/AREA_CODE,[0-9]{3}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[3]/TIME_ZONE,[A-Z]{1}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[4]/CITY,[A-Z a-z].*
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[4]/STATE,[A-Z]{2}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[4]/ZIP,[0-9]{5}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[4]/AREA_CODE,[0-9]{3}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[4]/TIME_ZONE,[A-Z]{1}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[5]/CITY,[A-Z a-z].*
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[5]/STATE,[A-Z]{2}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[5]/ZIP,[0-9]{5}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[5]/AREA_CODE,[0-9]{3}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[5]/TIME_ZONE,[A-Z]{1}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[6]/CITY,[A-Z a-z].*
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[6]/STATE,[A-Z]{2}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[6]/ZIP,[0-9]{5}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[6]/AREA_CODE,[0-9]{3}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[6]/TIME_ZONE,[A-Z]{1}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[7]/CITY,[A-Z a-z].*
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[7]/STATE,[A-Z]{2}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[7]/ZIP,[0-9]{5}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[7]/AREA_CODE,[0-9]{3}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[7]/TIME_ZONE,[A-Z]{1}
,/Envelope/Body/GetInfoByAreaCodeResponse/GetInfoByAreaCodeResult/NewDataSet/Table[8]/CITY,[A-Z a-z].*
